순위 (ranking),단어 (word),품사 (Part of speech),풀이 (Explanation),등급 (Rating),suffix number,단어 (word) (cleaned),english translation
1684,구성하다,동,構成-,C,하다,구성하다,Make up
1685,대체로,부,大體-,C,체로,대체로,generally
1686,때리다01,동,,C,01,때리다,hit
1687,몹시,부,,B,몹시,몹시,Heavily
1688,문득01,부,,C,01,문득,suddenly
1689,스포츠,명,sports,A,포츠,스포츠,sports
1690,위원장,명,委員長,C,원장,위원장,Chairman
1692,저기01,대,,A,01,저기,excuse me
1693,특별하다,형,特別-,B,하다,특별하다,special
1694,효과적,명,效果的,C,과적,효과적,effective
1695,가까이,부,,B,까이,가까이,closely
1696,낫다02,형,더 좋다,B,02,낫다,better
1697,넘어서다,동,,B,서다,넘어서다,overcome
1698,볶다,동,,B,볶다,볶다,To fry
1699,생산하다,동,生産-,C,하다,생산하다,Produce
1700,언젠가,부,,B,젠가,언젠가,someday
1701,예술가,명,藝術家,B,술가,예술가,artist
1702,의도02,명,意圖,C,02,의도,Intent
1703,저지르다,동,,C,르다,저지르다,commit
1704,줄어들다,동,,C,들다,줄어들다,decrease
1706,가만히,부,,B,만히,가만히,Still
1707,건04,의,件,C,04,건,case
1708,교회02,명,敎會,A,02,교회,church
1709,대개03,부,大槪,C,03,대개,mostly
1711,외부02,명,外部,C,02,외부,Out
1712,한두,관,,B,한두,한두,one or two
1713,한때,명,,C,한때,한때,onetime
1714,화06,명,~를 내다,A,06,화,fury
1715,흙01,명,,B,01,흙,soil
1716,가난하다,형,,B,하다,가난하다,poor
1717,고객04,명,顧客,B,04,고객,customer
1718,과학자,명,科學者,B,학자,과학자,Scientist
1719,관광02,명,觀光,B,02,관광,tourism
1720,살아오다,동,,C,오다,살아오다,live
1721,상대적,명,相對的,C,대적,상대적,relative
1722,수술05,명,手術,B,05,수술,surgery
1723,식품01,명,食品,B,01,식품,food
1724,연기10,명,演技,B,10,연기10,acting 10
1725,일월01,명,一月,A,01,일월,January
1726,조13,의,條,C,13,조13,Article 13
1728,첫째,수,,A,첫째,첫째,first
1730,회원,명,會員,B,회원,회원,member
1732,도서관,명,圖書館,A,서관,도서관,library
1733,들려오다,동,,B,오다,들려오다,hear
1735,조금씩,부,,B,금씩,조금씩,gradually
1736,조미료,명,調味料,C,미료,조미료,Condiment
1737,풀리다,동,,B,리다,풀리다,Relent
1738,강력하다,형,强力-,C,하다,강력하다,powerful
1739,들여다보다,동,,B,보다,들여다보다,look into
1740,마늘,명,,B,마늘,마늘,garlic
1741,선물03,명,膳物,A,03,선물,gift
1742,습관,명,習慣,B,습관,습관,habit
1743,아주머니,명,,A,머니,아주머니,madam
1744,위험,명,危險,A,위험,위험,danger
1745,지하,명,地下,A,지하,지하,underground
1746,활용하다,동,活用-,B,하다,활용하다,utilize
1747,가꾸다,동,,B,꾸다,가꾸다,cultivate
1748,고민,명,苦悶,B,고민,고민,worry
1749,떠올리다,동,,B,리다,떠올리다,recall
1750,맨01,관,,B,01,맨,man
1751,법률,명,法律,C,법률,법률,law
1752,상처02,명,傷處,B,02,상처,wound
1754,좁다01,형,,B,01,좁다,narrow
1755,지하철,명,地下鐵,A,하철,지하철,subway
1756,집다01,동,,B,01,집다,nip
1757,현04,관,現,C,04,현,hyeon
1758,화면05,명,畵面,C,05,화면,screen
1759,군04,의,君,B,04,군,army
1760,대표적,명,代表的,B,표적,대표적,representative
1761,만일01,명,萬一,B,01,만일,if
1762,사회적,명,社會的,B,회적,사회적,social
1763,생겨나다,동,,B,나다,생겨나다,arise
1764,이어01,부,,C,01,이어,Following
1765,주부03,명,主婦,B,03,주부,housewife
1766,진리,명,眞理,C,진리,진리,truth
1767,태양02,명,太陽,B,02,태양,sun
1768,틀림없다,형,,B,없다,틀림없다,It's definitely true
1769,프로03,명,professional,B,03,프로,Pro
1770,피다01,동,꽃이 ~,B,01,피다,Blossom
1772,공급02,명,供給,C,02,공급,supply
1773,도로07,명,道路,B,07,도로,road name
1774,동료,명,同僚,C,동료,동료,colleague
1775,잘못,부,,B,잘못,잘못,wrong
1776,지다05,동,등에 ~,B,05,지다,lose
1777,채우다03,동,자리를 ~,B,03,채우다,Fill
1778,균형,명,均衡,C,균형,균형,balance
1779,기본적,명,基本的,C,본적,기본적,basic
1780,부족05,명,部族,B,05,부족,lack
1781,사무실,명,事務室,A,무실,사무실,office
1783,이월01,명,二月,A,01,이월,carried over to
1784,일요일,명,日曜日,A,요일,일요일,sunday
1785,접근,명,接近,C,접근,접근,Access
1786,지켜보다,동,,C,보다,지켜보다,Watch
1788,개성03,명,個性,C,03,개성,Individuality
1790,달리다01,동,문에 종이 ~,B,01,달리다,run
1791,더하다,동,,B,하다,더하다,add
1792,띄다01,동,눈에 ~,C,01,띄다,stand out
1793,무너지다,동,,C,지다,무너지다,fallen
1794,보통,부,普通,B,보통,보통,commonly
1795,쓰다02,동,모자를 ~,A,02,쓰다,write
1797,이러다,동,,C,러다,이러다,Like this
1798,일어서다,동,,C,서다,일어서다,get up
1799,죄03,명,罪,C,03,죄,crime
1800,참01,감,이것 ~,B,01,참,really
1801,총장01,명,總長,B,01,총장,president
1802,핵심,명,核心,C,핵심,핵심,main point
1803,후반01,명,後半,C,01,후반,second half
1804,단순히,부,單純-,B,순히,단순히,simply
1805,달려가다,동,,B,가다,달려가다,run
1806,방문03,명,訪問,B,03,방문,visit
1807,불만,명,不滿,B,불만,불만,dissatisfaction
1808,불편하다01,형,不便-,B,01,불편하다,inconvenient
1809,실제02,명,實際,B,02,실제,real
1810,종09,명,種,B,09,종,bell
1811,피02,명,~를 흘리다,B,02,피,blood
1812,강01,명,江,A,01,강,river
1814,관객,명,觀客,B,관객,관객,audience
1815,동작03,명,動作,C,03,동작,movement
1816,뜻하다,동,,C,하다,뜻하다,mean
1817,막01,부,바로 지금,B,01,막,membrane
1818,밀리미터,의,millimeter,B,미터,밀리미터,millimeter
1819,비싸다,형,,A,싸다,비싸다,expensive
1820,숫자,명,數字,B,숫자,숫자,number
1821,열07,명,熱,B,07,열,heat
1822,왼쪽,명,,A,왼쪽,왼쪽,left
1823,중세02,명,中世,C,02,중세,Middle Ages
1824,택시,명,taxi,A,택시,택시,taxi
1825,통합,명,統合,C,통합,통합,integrated
1827,계산01,명,計算,B,01,계산,calculate
1828,꼬리01,명,,C,01,꼬리,tail
1829,놀랍다,형,,B,랍다,놀랍다,surprising
1831,양식04,명,樣式,C,04,양식,form
1832,예전01,명,,B,01,예전,Previous
1833,저05,감,,B,05,저,I
1834,전기15,명,電氣,B,15,전기15,electricity 15
1835,주식03,명,株式,C,03,주식,stock
1837,틀리다01,동,답이 ~,B,01,틀리다,wrong
1839,끊임없이,부,,C,없이,끊임없이,endlessly
1840,모델,명,model,B,모델,모델,Model
1841,붓다02,동,물을 ~,B,02,붓다,pour
1842,상식06,명,常識,C,06,상식,Common sense
1843,상표02,명,商標,C,02,상표,brand
1844,시원하다,형,,A,하다,시원하다,Cool
1845,아니하다,보,,C,하다,아니하다,No
1846,어디01,감,,A,01,어디,where
1847,의식하다02,동,意識-,C,02,의식하다,be conscious
1848,고모01,명,姑母,B,01,고모,aunt
1849,궁금하다01,형,,B,01,궁금하다,I'm curious
1850,둘러싸다,동,,C,싸다,둘러싸다,surround
1851,딱03,부,바라진 모양,B,03,딱,Just
1852,뛰다01,동,심장이 ~,A,01,뛰다,run
1854,민주화,명,民主化,C,주화,민주화,democratization
1855,보도04,명,報道,C,04,보도,sidewalk
1856,살피다01,동,,C,01,살피다,watch
1859,않다,동,,A,않다,않다,not
1860,약하다01,형,弱-,B,01,약하다,weak
1861,잘못하다,동,,B,하다,잘못하다,do wrong
1862,잡지,명,雜誌,A,잡지,잡지,magazine
1864,거부하다,동,拒否-,C,하다,거부하다,reject
1865,공무원,명,公務員,B,무원,공무원,public official
1866,그만두다,동,,B,두다,그만두다,Quit
1867,댁01,명,宅,A,01,댁,Dak
1868,반갑다,형,,A,갑다,반갑다,nice to meet
1869,부족01,명,不足,B,01,부족,lack
1870,실시03,명,實施,C,03,실시,practice
1871,운명01,명,運命,C,01,운명,fate
1873,재정05,명,財政,C,05,재정,finance
1874,차라리,부,,C,라리,차라리,rather
1875,학자01,명,學者,C,01,학자,Scholar
1876,다녀오다,동,,A,오다,다녀오다,come back
1877,달다03,동,단추를 ~,B,03,달다,Sweet
1878,대규모,명,大規模,C,규모,대규모,Large-scale
1879,동09,관,同,C,09,동,dong
1880,민간,명,民間,C,민간,민간,private
1881,법원01,명,法院,C,01,법원,court
1882,비디오,명,video,A,디오,비디오,video
1883,사실상,부,事實上,C,실상,사실상,virtually
1884,아끼다,동,,C,끼다,아끼다,grudge
1885,이쪽02,대,,A,02,이쪽,this way
1888,지대07,명,地帶,C,07,지대,belt
1890,판단하다,동,判斷-,C,하다,판단하다,Judge
1891,행복하다,형,幸福-,B,하다,행복하다,happy
1892,굽다01,동,익히다,B,01,굽다,bake
1893,기름01,명,,B,01,기름,Oil
1894,실천하다01,동,實踐-,C,01,실천하다,practice
1895,쏟아지다,동,,B,지다,쏟아지다,pour out
1896,연습03,명,練習,A,03,연습,practice
1897,오른쪽,명,,A,른쪽,오른쪽,right
1898,용어02,명,用語,C,02,용어,Terms
1899,익히다02,동,기술을 ~,C,02,익히다,to cook
1901,지도03,명,地圖,A,03,지도,map
1902,지위04,명,地位,C,04,지위,status
1903,풍부하다,형,豊富-,C,하다,풍부하다,rich
1904,화장실,명,化粧室,A,장실,화장실,restroom
1905,기억하다02,동,記憶-,B,02,기억하다,remember
1907,식량03,명,食糧,C,03,식량,food
1908,실험,명,實驗,C,실험,실험,Experiment
1909,용기02,명,勇氣,C,02,용기,courage
1912,토론01,명,討論,B,01,토론,debate
1914,핵,명,核,C,핵,핵,nucleus
1915,고급02,명,高級,B,02,고급,advanced
1916,고생,명,苦生,B,고생,고생,hardship
1918,미치다01,동,정신에 이상이 생기다,B,01,미치다,crazy
1919,밟다,동,,B,밟다,밟다,to step on
1920,상당하다02,형,相當-,C,02,상당하다,considerable
1921,섞다,동,,B,섞다,섞다,combine
1922,수석02,명,首席,C,02,수석,top
1925,없애다,동,,B,애다,없애다,Delete
1928,이뤄지다,동,,B,지다,이뤄지다,come true
1930,적절하다,형,適切-,C,하다,적절하다,It is appropriate
1931,정상11,명,頂上,B,11,정상11,normal 11
1932,제사07,명,祭祀,C,07,제사,ancestral rites
1933,주말02,명,週末,A,02,주말,weekend
1934,지혜02,명,智慧,C,02,지혜,wisdom
1935,참새01,명,동물,C,01,참새,Sparrow
1936,화장품,명,化粧品,B,장품,화장품,cosmetics
1937,굵다,형,,B,굵다,굵다,thick
1939,깨끗이,부,,B,끗이,깨끗이,clean
1940,낡다01,형,,B,01,낡다,old
1941,내년,명,來年,A,내년,내년,next year
1942,농산물,명,農産物,C,산물,농산물,Agricultural products
1943,눈앞,명,,B,눈앞,눈앞,Before your eyes
1944,대학생,명,大學生,A,학생,대학생,College student
1945,방문하다,동,訪問-,B,하다,방문하다,Visit
1946,붉다01,형,,B,01,붉다,red
1947,사고14,명,思考,C,14,사고14,Accident 14
1948,순서,명,順序,B,순서,순서,order
1949,아무래도,부,,B,래도,아무래도,I guess
1950,연구소,명,硏究所,B,구소,연구소,laboratory
1951,올02,관,올해,C,02,올,all
1952,위대하다01,형,偉大-,C,01,위대하다,great
1953,이사14,명,移徙,B,14,이사14,Moving14
1954,지배하다01,동,支配-,C,01,지배하다,rule
1955,틈01,명,,C,01,틈,aperture
1956,가령05,부,假令,C,05,가령,chamberlain
1958,거대하다,형,巨大-,C,하다,거대하다,It's huge
1959,닫다02,동,,A,02,닫다,close
1960,드물다,형,,C,물다,드물다,rare
1961,들르다,동,,B,르다,들르다,drop in at
1962,매달리다,동,,C,리다,매달리다,hang on
1963,생일02,명,生日,A,02,생일,birthday
1964,섬03,명,,B,03,섬,island
1965,이하02,명,以下,B,02,이하,below
1966,참석하다,동,參席-,B,하다,참석하다,Attend
1967,토대,명,土臺,C,토대,토대,foundation
1968,해결02,명,解決,B,02,해결,solve
1969,행복02,명,幸福,B,02,행복,happiness
1970,걸어가다,동,,A,가다,걸어가다,walk
1971,근로자,명,勤勞者,B,로자,근로자,Employee
1972,글쎄01,감,,B,01,글쎄,well
1973,목숨,명,,C,목숨,목숨,life
1974,백화점,명,百貨店,A,화점,백화점,department store
1975,변화하다,동,變化-,B,하다,변화하다,change
1976,병05,명,甁,A,05,병,party
1977,빠져나가다,동,,C,가다,빠져나가다,get out
1978,안녕하다,형,安寧-,A,하다,안녕하다,hello
1979,여론02,명,輿論,C,02,여론,public opinion
1980,의복01,명,衣服,C,01,의복,cloth
1981,체조02,명,體操,C,02,체조,Gymnastics
1982,출발하다,동,出發-,A,하다,출발하다,Depart
1984,현실적,명,現實的,C,실적,현실적,realistic
1985,화제07,명,話題,C,07,화제,issue
1986,결정되다01,동,決定-,B,01,결정되다,be decided
1987,고양이,명,,A,양이,고양이,cat
1988,공격02,명,攻擊,C,02,공격,attack
1990,물가02,명,物價,C,02,물가,price
1991,민주주의,명,民主主義,C,주의,민주주의,democracy
1992,불안01,명,不安,B,01,불안,unrest
1993,소중하다,형,所重-,C,하다,소중하다,precious
1994,여유,명,餘裕,B,여유,여유,spare
1995,의문02,명,疑問,C,02,의문,question
1996,중학교,명,中學校,A,학교,중학교,middle School
1997,킬로미터,의,kilometer,B,미터,킬로미터,kilometer
1998,파도,명,波濤,B,파도,파도,tide
1999,흰색,명,-色,A,흰색,흰색,White
2000,가수11,명,歌手,A,11,가수11,Singer 11
2001,단09,관,單,B,09,단,step
2004,방송국,명,放送局,B,송국,방송국,Broadcast stations
2005,빛나다,동,,C,나다,빛나다,shine
2006,숨다01,동,,B,01,숨다,hide
2007,실리다01,동,'싣다'의 피동사,C,01,실리다,be loaded
2008,압력,명,壓力,C,압력,압력,enter
2009,예금01,명,預金,B,01,예금,Deposit
2010,예상되다,동,豫想-,C,되다,예상되다,expected
2012,입학,명,入學,B,입학,입학,Admission
2014,증권01,명,證券,C,01,증권,stock
2015,직후,명,直後,C,직후,직후,Immediately after
2016,차량01,명,車輛,C,01,차량,vehicle
2017,출산02,명,出産,C,02,출산,delivery
2024,물다02,동,담배를 ~,B,02,물다,bite
2025,선진국,명,先進國,C,진국,선진국,Developed countries
2027,약07,명,藥,A,07,약,approximately
2028,어느새,부,,B,느새,어느새,Suddenly
2030,재판06,명,裁判,C,06,재판,trial
2031,저쪽,대,,A,저쪽,저쪽,there
2032,제자01,명,弟子,C,01,제자,student
2033,창문,명,窓門,A,창문,창문,window
2034,초07,의,秒,B,07,초,candle
2035,치즈,명,cheese,B,치즈,치즈,cheese
2036,회복,명,回復,C,회복,회복,recovery
2037,구역04,명,區域,C,04,구역,area
2038,대응02,명,對應,C,02,대응,react
2039,반대하다01,동,反對-,B,01,반대하다,Oppose
2040,발휘하다,동,發揮-,C,하다,발휘하다,exert
2041,소비05,명,消費,C,05,소비,Consumption
2042,심장02,명,心臟,C,02,심장,heart
2043,아이고,감,,B,이고,아이고,oh my
2047,조용히,부,,B,용히,조용히,quietly
2048,중소기업,명,中小企業,C,기업,중소기업,small business
2049,직접적,명,直接的,C,접적,직접적,direct
2050,진실02,명,眞實,C,02,진실,truth
2051,필자02,명,筆者,C,02,필자,writer
2052,협력,명,協力,C,협력,협력,Cooperation
2053,가스,명,gas,B,가스,가스,gas
2054,계층,명,階層,C,계층,계층,hierarchy
2055,구멍,명,,B,구멍,구멍,hole
2057,담당,명,擔當,C,담당,담당,in charge
2059,만화10,명,漫畵,B,10,만화10,Cartoon 10
2060,먹이다,동,,B,이다,먹이다,batten
2061,무시하다,동,無視-,B,하다,무시하다,ignore
2062,보도하다02,동,報道-,C,02,보도하다,report
2063,살짝01,부,,B,01,살짝,a little
2064,생각나다,동,,B,나다,생각나다,come to mind
2065,우유02,명,牛乳,A,02,우유,milk
2066,인상03,명,引上,C,03,인상,impression
2067,차갑다,형,,B,갑다,차갑다,cold
2068,철저하다,형,徹底-,C,하다,철저하다,thorough
2069,태아02,명,胎兒,C,02,태아,fetus
2070,관찰하다,동,觀察-,B,하다,관찰하다,Observe
2071,괜히,부,,B,괜히,괜히,in vain
2072,끼다03,동,끼우다,B,03,끼다,Put on
2073,날개01,명,,B,01,날개,wing
2074,녀석,의,,B,녀석,녀석,guy
2075,눈빛01,명,~이 매섭다,B,01,눈빛,a look
2076,단지08,명,團地,B,08,단지,only
2077,두르다,동,,C,르다,두르다,borrow
2078,드디어,부,,C,디어,드디어,at las
2079,물속,명,,B,물속,물속,underwater
2080,민주02,명,民主,C,02,민주,democracy
2082,성공하다,동,成功-,B,하다,성공하다,Succeed
2083,소나무,명,,B,나무,소나무,pine tree
2084,여기저기,명,,B,저기,여기저기,Here and there
2085,여인01,명,女人,C,01,여인,woman
2086,운영하다,동,運營-,C,하다,운영하다,operate
2089,평가하다,동,評價-,C,하다,평가하다,evaluate
2090,표04,명,票,A,04,표,graph
2091,필요성,명,必要性,C,요성,필요성,Necessity
2092,감추다,동,,C,추다,감추다,hide
2094,머무르다,동,,B,르다,머무르다,stay
2095,모15,대,某,C,15,모15,Mo 15
2096,부위04,명,部位,C,04,부위,part
2097,비우다01,동,,C,01,비우다,vacate
2098,설치하다01,동,設置-,C,01,설치하다,install
2099,십일월,명,十一月,A,일월,십일월,November
2100,싸다01,동,보자기에 ~,B,01,싸다,cheap
2101,아울러,부,,C,울러,아울러,together
2103,지시02,명,指示,C,02,지시,instruction
2106,형성하다,동,形成-,C,하다,형성하다,form
2107,형제01,명,兄弟,B,01,형제,sibling
2108,화려하다,형,華麗-,B,하다,화려하다,Gorgeous
2109,거울01,명,,A,01,거울,mirror
2110,덧붙이다,동,,C,이다,덧붙이다,add
2111,딴03,관,~ 일,B,03,딴,different
2112,몇몇,관,,B,몇몇,몇몇,some
2113,무기05,명,武器,C,05,무기,weapon
2114,세계적,명,世界的,B,계적,세계적,worldwide
2115,안전03,명,安全,B,03,안전,safety
2116,양파,명,洋-,B,양파,양파,onion
2117,이상12,명,異常,B,12,이상12,More than 12
2118,일종03,명,一種,C,03,일종,kind of
2119,처지,명,處地,C,처지,처지,situation
2120,촬영,명,撮影,B,촬영,촬영,filming
2121,타다01,동,장작이 ~,C,01,타다,ride
2122,틀다,동,,B,틀다,틀다,turn on
2123,형편01,명,形便,C,01,형편,circumstances
2124,가지01,명,~를 치다,B,01,가지,egg plant
2125,감다01,동,눈을 ~,B,01,감다,reel in
2126,고추01,명,,B,01,고추,pepper
2127,규칙02,명,規則,B,02,규칙,rule
2128,본질02,명,本質,C,02,본질,nature
2129,비치다01,동,,C,01,비치다,hint
2130,빵01,명,,A,01,빵,bread
2131,서서히,부,徐徐-,C,서히,서서히,slowly
2132,스승01,명,,C,01,스승,teacher
2133,신분02,명,身分,C,02,신분,Identity
2134,실시되다,동,實施-,C,되다,실시되다,carry out
2135,아마도,부,,B,마도,아마도,maybe
2136,안방02,명,-房,B,02,안방,Inner room
2137,앓다,동,,B,앓다,앓다,be ill
2138,어제01,부,,A,01,어제,yesterday
2140,오직01,부,,B,01,오직,Only
2141,위험하다,형,危險-,A,하다,위험하다,Dangerous
2143,자신02,명,自信,B,02,자신,Myself
2144,잠시,명,暫時,B,잠시,잠시,for a moment
2145,졸업하다,동,卒業-,A,하다,졸업하다,graduate
2146,증거,명,證據,C,증거,증거,evidence
2147,초점03,명,焦點,C,03,초점,focus
2148,포함되다01,동,包含-,B,01,포함되다,to be included
2150,호랑이,명,虎狼-,B,랑이,호랑이,tiger
2151,강화하다02,동,强化-,C,02,강화하다,Reinforce
2152,공포08,명,恐怖,C,08,공포,fear
2153,권위,명,權威,C,권위,권위,authority
2154,덜01,부,,B,01,덜,less
2155,둥글다01,형,,B,01,둥글다,round
2157,미루다,동,,C,루다,미루다,Postpone
2158,본래,명,本來,B,본래,본래,originally
2159,부엌,명,,A,부엌,부엌,kitchen
2160,세금01,명,稅金,B,01,세금,tax
2162,실정04,명,實情,C,04,실정,actual circumstances
2163,영양05,명,營養,C,05,영양,nutrition
2164,육체03,명,肉體,C,03,육체,flesh
2165,입구02,명,入口,B,02,입구,Entrance
2166,잔뜩,부,,B,잔뜩,잔뜩,loads
2167,적극,명,積極,B,적극,적극,actively
2168,최소한,명,最小限,B,소한,최소한,at least
2169,펼쳐지다,동,,B,지다,펼쳐지다,unfold
2170,경험하다,동,經驗-,B,하다,경험하다,Experience
2171,그이01,대,,C,01,그이,He
2172,넘치다,동,,B,치다,넘치다,spill over
2173,놓치다,동,,B,치다,놓치다,to let go
2174,대기07,명,大氣,C,07,대기,atmosphere
2175,독립,명,獨立,C,독립,독립,Independent
2176,돌아보다,동,,B,보다,돌아보다,look back
2177,또다시,부,,B,다시,또다시,Again
2178,머릿속,명,,B,릿속,머릿속,in my head
2179,북쪽,명,北-,A,북쪽,북쪽,North
2180,불안하다,형,不安-,B,하다,불안하다,Unstable
2181,쇠고기,명,,A,고기,쇠고기,beef
2182,위반03,명,違反,B,03,위반,violation
2183,주26,명,週,A,26,주26,Note 26
2184,카드,명,card,A,카드,카드,card
2185,평생,명,平生,B,평생,평생,forever
2186,해당하다04,동,該當-,C,04,해당하다,correspond to
2187,간부05,명,幹部,C,05,간부,Cadre
2189,관념02,명,觀念,C,02,관념,concept
2190,굉장히,부,宏壯-,B,장히,굉장히,greatly
2192,단어,명,單語,A,단어,단어,word
2193,덮다,동,,B,덮다,덮다,cover
2194,도와주다,동,,A,주다,도와주다,help
2195,도입,명,導入,C,도입,도입,introduction
2196,몰다01,동,,B,01,몰다,drive
2197,배우01,명,俳優,B,01,배우,actor
2198,비추다,동,,C,추다,비추다,irradiate
2199,신발,명,,A,신발,신발,shoes
2200,알01,명,,B,01,알,egg
2201,앞서다,동,,B,서다,앞서다,precede
2202,여건01,명,與件,C,01,여건,conditions
2203,오래전,명,-前,B,래전,오래전,lang syne
2204,자격04,명,資格,B,04,자격,Qualification
2205,통제02,명,統制,C,02,통제,control
2206,계단04,명,階段,B,04,계단,stairs
2207,김치01,명,,A,01,김치,kimchi
2208,끄덕이다,동,,B,이다,끄덕이다,nod
2209,낯설다,형,,B,설다,낯설다,strange
2210,높이01,명,,B,01,높이,height
2211,닮다,동,,B,닮다,닮다,Resemble
2212,마음속,명,,B,음속,마음속,In my heart
2213,못지않다,형,,C,않다,못지않다,It's no less
2214,반영하다,동,反映-,C,하다,반영하다,Reflect
2216,뼈,명,,B,뼈,뼈,bone
2217,성장하다01,동,成長-,C,01,성장하다,grow up
2218,소속01,명,所屬,C,01,소속,belong
2219,연결되다,동,連結-,B,되다,연결되다,connected
2220,장사01,명,,B,01,장사,Sale
2221,제작02,명,製作,C,02,제작,produce
2222,제한01,명,制限,B,01,제한,limit
2223,차다02,동,공을 ~,B,02,차다,cold
2224,추진02,명,推進,C,02,추진,propel
2225,취하다03,동,醉-,B,03,취하다,drunk
2226,콩01,명,,B,01,콩,bean
2227,한숨02,명,~을 쉬다,B,02,한숨,sigh
2228,헤어지다,동,,B,지다,헤어지다,break up
2229,구입하다03,동,購入-,C,03,구입하다,Buy
2230,날다01,동,,A,01,날다,fly
2231,너머,명,,B,너머,너머,beyond
2232,동기07,명,動機,B,07,동기,motivation
2233,마련,명,,C,마련,마련,prepared
2234,살01,명,~을 빼다,B,01,살,fat
2235,선장06,명,船長,C,06,선장,Captain
2236,설탕,명,雪糖,A,설탕,설탕,sugar
2237,순수하다02,형,純粹-,B,02,순수하다,pure
2238,스타일,명,style,B,타일,스타일,style
2239,시점02,명,時點,C,02,시점,point of view
2240,싸다05,형,집값이 ~,A,05,싸다,cheap
2241,의사02,명,意思,C,02,의사,doctor
2243,집중02,명,集中,B,02,집중,Concentration
2244,코드02,명,code,C,02,코드,code
2245,큰일01,명,중대한 일,B,01,큰일,big deal
2246,거짓말,명,,B,짓말,거짓말,lie
2248,대단하다,형,,B,하다,대단하다,amazing
2249,대단히,부,,B,단히,대단히,very
2250,마주01,부,,B,01,마주,face to face
2251,세계관,명,世界觀,C,계관,세계관,world view
2252,어제01,명,어저께,A,01,어제,yesterday
2253,온통,부,,B,온통,온통,all
2254,의존하다,동,依存-,C,하다,의존하다,be dependent
2255,자세히,부,仔細-,B,세히,자세히,Details
2256,점심,명,點心,A,점심,점심,lunch
2257,정확히01,부,正確-,B,01,정확히,exactly
2258,지치다01,동,일에 ~,B,01,지치다,exhausted
2259,청년,명,靑年,B,청년,청년,youth
2260,혀01,명,,B,01,혀,tongue
2261,확대하다02,동,擴大-,B,02,확대하다,to enlarge
2262,후춧가루,명,,B,가루,후춧가루,black pepper
2263,건설하다,동,建設-,C,하다,건설하다,Build
2264,경쟁력,명,競爭力,C,쟁력,경쟁력,Competitiveness
2265,마침02,부,,B,02,마침,Finish
2266,신용01,명,信用,B,01,신용,credit
2267,연락02,명,連絡,C,02,연락,Communication
2268,온몸,명,,B,온몸,온몸,whole body
2269,정20,명,情,B,20,정20,Jeong20
2270,정신적,명,精神的,B,신적,정신적,mental
2271,증상01,명,症狀,B,01,증상,Symptom
2272,출연하다02,동,出演-,B,02,출연하다,appear
2273,칼01,명,베는 도구,A,01,칼,knife
2274,한꺼번에,부,,B,번에,한꺼번에,At the same time
2275,강제01,명,强制,B,01,강제,compulsion
2276,건너다,동,,B,너다,건너다,to cross
2277,깨다01,동,술이 ~,B,01,깨다,wake up
2278,낚시,명,,B,낚시,낚시,fishing
2279,다가가다,동,,B,가다,다가가다,Go closer
2280,뛰어들다,동,,B,들다,뛰어들다,jump in
2281,문자02,명,文字,C,02,문자,message
2282,묻다01,동,옷에 흙이 ~,B,01,묻다,ask
2283,비롯되다,동,,C,되다,비롯되다,originate from
2284,슬프다,형,,A,프다,슬프다,sad
2285,신부10,명,新婦,B,10,신부10,Bride 10
2286,여겨지다,동,,C,지다,여겨지다,be considered
2287,오징어,명,,B,징어,오징어,calamari
2288,요금01,명,料金,B,01,요금,fee
2289,용돈,명,用-,B,용돈,용돈,Pin money
2290,위주,명,爲主,C,위주,위주,mainly
2291,음료,명,飮料,B,음료,음료,beverage
2292,의자03,명,椅子,A,03,의자,chair
2293,전자06,명,電子,B,06,전자,former
2294,전해지다,동,傳-,B,지다,전해지다,pass down
2295,전환03,명,轉換,C,03,전환,transform
2296,지경02,의,地境,C,02,지경,Jigyeong
2297,진행02,명,進行,C,02,진행,progress
2298,카메라,명,camera,A,메라,카메라,camera
2299,통증,명,痛症,C,통증,통증,ache
2300,편리하다,형,便利-,B,하다,편리하다,convenient
2301,하천02,명,河川,C,02,하천,River
2302,현금04,명,現金,B,04,현금,cash
2303,화학01,명,化學,C,01,화학,chemistry
2304,활발하다,형,活潑-,B,하다,활발하다,It is actively
2305,가리다03,동,시비를 ~,B,03,가리다,blind
2306,거칠다,형,,C,칠다,거칠다,crudity
2307,그나마,부,,C,나마,그나마,At least
2308,그야말로,부,,C,말로,그야말로,Literally
2309,껍질,명,,B,껍질,껍질,skin
2310,남부01,명,南部,C,01,남부,Southern
2311,명령01,명,命令,B,01,명령,Command
2312,몰래01,부,,B,01,몰래,stealthily
2313,무조건,부,無條件,B,조건,무조건,must
2314,반장08,명,班長,B,08,반장,Class monitor
2315,부근03,명,附近,B,03,부근,vicinity
2316,선택,명,選擇,B,선택,선택,select
2319,역사가,명,歷史家,B,사가,역사가,historian
2320,연구자,명,硏究者,B,구자,연구자,researcher
2321,연기자,명,演技者,C,기자,연기자,actor
2322,워낙,부,,C,워낙,워낙,So much
2323,정리09,명,整理,B,09,정리,organize
2324,조그맣다,형,,B,맣다,조그맣다,It's small
2325,줄기01,명,,B,01,줄기,stem
2326,찾아내다,동,,B,내다,찾아내다,find out
2327,토요일,명,土曜日,A,요일,토요일,Saturday
2329,경찰관,명,警察官,A,찰관,경찰관,police officer
